Month,Posting Date,Category,CustomerName,,Ship-to Code,BILL TO STATE,Item/Service Description,Qty,Basic Value
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,BROOKFIELD MALL - CMBT,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,PROZONE MALL - CMBT,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,B.G.ROAD - BLR,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,MARINA MALL CHN,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,TIMES SQUARE MALL - UDUPI MANIPAL,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,04/05/2024,Customer Sale,CUSTOMER UNREGISTER,,Abhijit Prakash Jagtap,Maharashtra,BTW300-XTREME-BK,1,"2,117.80"
May-2024,04/05/2024,Customer Sale,ARCO GIFT PRODUCTS,,DELHI2,Delhi,SBA15-GM,12,"8,916.00"
May-2024,04/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,West Bengal,BTW300 BL,-1,"-1,694.10"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Haryana,BTW12 KHROME WH,-1,"-1,016.10"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Delhi,BTW12 KHROME WH,-1,"-1,016.10"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Madhya Pradesh,BTW300 BL,-1,"-1,270.30"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Maharashtra,BTW12-KHROME-BL,-1,"-1,016.10"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Kerala,EM01 TYPE C BK,-1,-465.3
May-2024,04/05/2024,Customer Sale,CUSTOMER UNREGISTER,,Abhijit Prakash Jagtap,Maharashtra,BTW07 ANC BK,-1,"-2,117.80"
May-2024,04/05/2024,Customer Sale,APPARIO RETAIL PRIVATE LIMITED (B2B),,Delhi,Delhi,SBA15-GM,-130,"-112,186.10"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Assam,EM06-TYPE-C-BL,-1,-295.8
May-2024,04/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Delhi,BE100 BK,-1,"-1,016.10"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Punjab,BTW09 AIR BK,-1,-846.6
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,SBA10 BK,-1,-804.2
May-2024,04/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Bihar,BT55 BK,-1,"-1,185.60"
May-2024,04/05/2024,Customer Sale,DELHIVERY-COD,,,Punjab,ATOMIK BB50 BK,-1,"-4,723.70"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,BTW12 KHROME BK,-1,"-1,007.60"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Chattisgarh,BTW12 KHROME BK,-1,"-1,007.63"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Kerala,BTW12 KHROME BK,-1,"-1,007.63"
May-2024,04/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Kerala,BTW100 XTREME BK,-1,"-3,302.54"
May-2024,05/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Maharashtra,SBA15 BK,-1,-829.7
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Karnataka,ATOMIK BB20 BK,-1,"-1,694.07"
